"otu","Isolate","count","totalReads","otuMatches","numOTUs","mixed","Domain","Phylum","Class","Order","Family","Genus"
"Otu26741","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu23528","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu23454","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu09621","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu08977","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00025","P1D0sepR1,022um",7,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00025","P1D0sepR2,022um",13,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00025","P2D0sepR2,022um",10,941,218,218,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00025","P2D0sepR3,022um",7,957,182,182,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00025","P3D0sepR1,022um",8,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00025","P3D0sepR2,022um",9,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00025","P3D0sepR3,022um",14,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00401","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00401","P3D0sepR1,022um",2,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00401","P3D0sepR2,022um",3,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00401","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu11782","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu09635","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu23645","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu21724","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00575","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu13388","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu14581","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu04841","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu19385","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00664","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00737","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu21457","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00703","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu06312","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00824","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00572","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00572","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu07589","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu00913","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00770","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu21957","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu01045","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu16200","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu23305","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu23250","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu26600","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu12317","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu24466","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu09244","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu18888","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu21494","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu02214","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu16150","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu05554","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu17761","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu00020","P1D0sepR1,022um",53,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu00020","P1D0sepR2,022um",50,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu00020","P2D0sepR2,022um",57,941,218,218,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu00020","P2D0sepR3,022um",34,957,182,182,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu00020","P3D0sepR1,022um",54,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu00020","P3D0sepR2,022um",63,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu00020","P3D0sepR3,022um",65,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu13501","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu02106","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu20262","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu04454","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu27566","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu12291","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu07395","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu06399","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu03991","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu03852","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu26705","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu12395","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu22139","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu22431","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00208","P1D0sepR1,022um",7,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00208","P1D0sepR2,022um",6,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00208","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00208","P3D0sepR1,022um",4,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00208","P3D0sepR2,022um",4,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00208","P3D0sepR3,022um",11,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00984","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00984","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu04280","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu15256","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"Otu22954","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu21249","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu14656","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00151","P1D0sepR1,022um",18,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00151","P1D0sepR2,022um",24,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00151","P2D0sepR2,022um",9,941,218,218,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00151","P2D0sepR3,022um",4,957,182,182,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00151","P3D0sepR1,022um",18,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00151","P3D0sepR2,022um",18,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00151","P3D0sepR3,022um",14,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu27218","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu11615","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu02513","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu17912","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"Otu00585","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"Otu11185","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"Otu00881","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"Otu00881","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"Otu09158","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"Otu16823","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenaceae_unclassified"
"Otu00196","P1D0sepR1,022um",4,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenaceae_unclassified"
"Otu00196","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenaceae_unclassified"
"Otu00196","P3D0sepR2,022um",4,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenaceae_unclassified"
"Otu00196","P3D0sepR3,022um",3,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenaceae_unclassified"
"Otu22862","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenaceae_unclassified"
"Otu25631","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00207","P2D0sepR2,022um",4,941,218,218,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00207","P2D0sepR3,022um",2,957,182,182,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu04581","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00349","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00349","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00907","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Aquabacterium"
"Otu23451","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Aquabacterium"
"Otu00901","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Aquabacterium"
"Otu00618","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu09026","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu04930","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu03372","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00027","P2D0sepR2,022um",42,941,218,218,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00027","P2D0sepR3,022um",45,957,182,182,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00027","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00027","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu09922","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu14458","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu12647","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu04092","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu18807","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"Otu24657","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"Otu00039","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"Otu12443","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu24680","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu12325","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu01531","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu02027","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu15382","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu24126","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu00008","P1D0sepR1,022um",44,936,257,257,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu00008","P1D0sepR2,022um",40,937,213,213,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu00008","P2D0sepR2,022um",77,941,218,218,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu00008","P2D0sepR3,022um",117,957,182,182,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu00008","P3D0sepR1,022um",39,923,126,126,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu00008","P3D0sepR2,022um",41,942,200,200,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu00008","P3D0sepR3,022um",32,944,164,164,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu09346","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu02711","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu21229","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu13893","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu11180","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu13807","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu16969","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu25609","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu15949","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu05381","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu04637","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu10209","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Cytophagaceae","Cytophagaceae_unclassified"
